pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,target
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,121,9,0,0,0,0,0,0,117,179,165,66,0,0,0,0,0,89,187,14,17,17,0,0,0,0,29,232,132,3,0,0,0,0,0,0,151,181,141,98,0,0,0,0,0,3,213,75,110,154,0,0,0,0,0,1,163,137,206,89,0,0,0,0,0,0,22,138,102,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,57,25,0,0,0,0,0,0,70,135,118,114,0,0,0,0,0,76,144,9,39,71,0,0,0,0,8,198,100,116,232,89,0,0,0,0,2,92,117,202,140,0,0,0,0,0,0,0,73,173,9,0,0,0,0,0,0,65,208,39,0,0,0,0,0,0,15,163,71,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,9
0,0,0,0,0,8,6,0,0,0,0,0,0,21,128,218,203,34,0,0,0,0,0,112,217,95,232,116,0,0,0,0,0,17,14,10,230,101,0,0,0,0,0,0,0,108,234,25,0,0,0,0,52,134,157,238,154,0,0,0,0,32,222,170,252,254,232,75,0,0,0,34,225,230,184,57,135,87,0,0,0,0,35,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,8,114,155,69,0,0,0,0,0,10,175,243,151,234,77,0,0,0,0,43,254,91,0,96,206,17,0,0,0,68,237,24,0,0,222,64,0,0,0,93,255,201,49,24,225,47,0,0,0,71,255,233,194,201,175,2,0,0,0,8,176,255,255,170,22,0,0,0,0,0,16,118,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,86,135,89,3,0,0,0,0,41,185,161,136,196,20,0,0,0,1,174,108,3,118,247,39,0,0,0,0,113,190,170,135,207,28,0,0,0,0,0,28,22,6,194,23,0,0,0,0,0,0,0,16,174,4,0,0,0,0,0,0,0,39,163,0,0,0,0,0,0,0,0,31,85,0,0,0,9
0,0,0,0,4,3,0,0,0,0,0,0,0,0,145,84,0,0,0,0,0,0,0,11,213,71,0,0,0,0,0,0,0,68,209,11,0,0,0,0,0,0,0,117,222,182,61,0,0,0,0,0,0,107,254,164,165,21,0,0,0,0,0,47,226,101,206,31,0,0,0,0,0,7,185,254,118,0,0,0,0,0,0,0,24,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,122,53,0,0,0,0,0,0,0,5,124,171,0,0,0,0,0,0,0,0,66,128,0,0,0,0,0,0,0,61,171,45,0,0,0,0,0,0,87,187,161,23,0,0,0,0,0,53,157,25,18,80,12,0,0,0,0,46,145,12,36,158,28,0,0,0,0,0,30,8,73,42,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,115,1,0,0,0,0,0,0,55,233,230,49,0,0,0,0,0,18,217,118,74,157,2,0,0,0,0,136,177,18,0,166,8,0,0,0,9,183,36,0,32,171,4,0,0,0,49,148,0,11,159,75,0,0,0,0,77,183,81,183,102,0,0,0,0,0,15,128,146,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,22,32,0,0,0,0,0,0,0,0,152,82,0,0,0,0,0,0,0,108,185,9,0,0,0,0,0,0,109,208,33,0,0,0,0,0,0,45,236,163,180,180,14,0,0,0,0,143,251,212,212,186,7,0,0,6,121,255,221,174,188,31,0,0,0,37,160,163,212,169,32,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,28,32,19,0,0,0,0,0,104,181,141,146,135,6,0,0,4,144,183,52,0,0,4,0,0,0,0,136,156,159,93,0,0,0,0,13,104,85,44,139,99,0,0,0,0,19,122,126,128,121,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,0,0,0,0,0,0,0,6,179,65,0,0,0,0,0,0,0,100,180,3,0,0,0,0,0,0,20,212,62,0,0,0,0,0,0,0,123,158,0,0,0,0,0,0,0,17,200,46,0,0,0,0,0,0,0,117,160,0,0,0,0,0,0,0,9,143,30,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,23,0,0,0,0,0,72,91,0,53,138,0,0,0,0,0,155,85,0,90,124,0,0,0,0,20,205,42,9,144,135,0,0,0,0,149,250,209,207,241,112,0,0,0,1,93,78,100,78,218,56,0,0,0,0,0,0,0,14,206,26,0,0,0,0,0,0,0,21,141,8,0,0,0,0,0,0,0,1,2,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,61,33,4,0,0,0,0,0,83,243,204,191,22,0,0,0,0,0,67,236,161,173,16,0,0,0,0,0,0,43,229,157,0,0,0,0,0,0,0,52,230,156,0,0,0,0,0,0,24,190,165,164,0,0,0,0,0,0,70,224,223,100,0,0,0,0,0,0,36,202,131,5,0,0,0,0,0,0,0,4,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,31,0,0,0,0,0,0,0,21,206,70,0,0,0,0,0,0,0,135,194,5,0,0,0,0,0,0,32,222,54,0,0,0,0,0,0,4,181,142,0,0,0,0,0,0,0,67,229,21,0,0,0,0,0,0,0,165,151,0,0,0,0,0,0,0,0,120,53,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,97,170,141,4,0,0,0,0,1,121,135,20,152,54,0,0,0,0,70,154,0,73,225,39,0,0,0,0,43,176,149,203,122,0,0,0,0,0,0,21,33,152,48,0,0,0,0,0,0,0,8,179,26,0,0,0,0,0,0,0,46,230,43,0,0,0,0,0,0,0,9,54,5,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0,0,0,0,15,128,209,166,59,0,0,0,0,0,102,154,58,230,139,0,0,0,0,0,79,182,187,95,6,0,0,0,0,0,47,255,86,0,0,0,0,0,0,2,149,172,148,2,0,0,0,0,0,21,170,56,213,15,0,0,0,0,0,13,161,174,111,2,0,0,0,0,0,0,8,16,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,85,0,4,3,0,0,0,0,0,95,56,0,98,49,0,0,0,0,26,111,2,35,149,40,0,0,0,0,49,128,99,95,156,14,0,0,0,0,6,33,13,6,135,4,0,0,0,0,0,0,0,31,118,0,0,0,0,0,0,0,0,43,65,0,0,0,0,0,0,0,0,11,10,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,124,202,127,0,0,0,0,0,0,96,243,244,188,19,0,0,0,0,28,207,69,146,148,197,50,0,0,0,145,155,0,4,16,179,148,0,0,63,246,171,135,162,216,185,47,0,0,91,161,163,133,88,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,19,82,190,174,211,170,34,0,0,0,103,241,169,101,60,87,139,3,0,0,54,178,0,0,0,13,178,23,0,0,94,73,0,0,0,53,134,1,0,5,139,6,0,0,0,156,85,0,0,4,159,39,0,8,57,112,4,0,0,0,66,181,171,176,64,0,0,0,0,0,0,49,67,29,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,75,140,163,158,31,0,0,0,6,144,123,32,33,22,6,0,0,0,137,231,175,75,0,0,0,0,0,44,99,29,77,150,0,0,0,0,1,188,92,29,172,86,0,0,0,0,0,71,170,167,105,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,3,87,156,166,165,8,0,0,0,0,17,99,45,43,186,10,0,0,0,0,0,0,0,141,113,0,0,0,0,0,0,0,41,190,14,0,0,0,0,0,0,3,166,86,0,0,0,0,0,0,0,66,179,22,19,0,0,0,0,0,0,86,191,126,18,0,0,0,0,0,0,11,73,19,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,51,209,78,0,0,0,0,0,0,0,24,199,27,56,90,0,0,0,0,0,0,147,43,123,173,0,0,0,0,0,0,69,185,214,135,0,0,0,0,0,0,0,47,197,64,0,0,0,0,0,0,0,0,165,75,0,0,0,0,0,0,0,0,100,165,6,0,0,0,0,0,0,0,2,52,7,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,10,111,148,118,12,0,0,0,0,0,4,54,91,169,153,0,0,0,0,0,0,0,0,64,159,0,0,0,0,0,0,0,2,158,80,0,0,0,0,0,0,0,72,139,3,0,0,0,0,0,0,53,159,8,0,0,0,0,0,0,19,224,185,108,82,4,0,0,0,0,4,56,111,92,43,1,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,27,0,0,0,0,0,0,0,12,196,43,0,0,0,0,0,0,0,46,190,8,0,0,0,0,0,0,0,105,183,0,0,0,0,0,0,0,0,113,186,0,0,0,0,0,0,0,0,73,176,0,0,0,0,0,0,0,0,64,190,6,0,0,0,0,0,0,0,8,114,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,46,141,121,22,0,0,0,0,0,0,96,204,210,198,13,0,0,0,0,0,0,8,136,155,4,0,0,0,0,0,48,175,216,101,0,0,0,0,0,0,15,25,17,168,82,0,0,0,77,55,0,0,0,70,192,2,0,0,96,193,88,83,116,189,101,0,0,0,1,72,147,144,104,43,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,8,105,140,76,1,0,0,0,0,0,9,134,87,134,130,0,0,0,0,0,0,0,0,179,192,0,0,0,0,0,0,0,21,241,129,9,3,0,0,0,0,11,132,255,208,157,122,35,0,0,3,144,255,144,27,17,13,6,0,0,49,255,142,4,0,0,0,0,0,0,46,131,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,20,0,0,0,0,0,0,35,175,214,220,65,0,0,0,0,1,184,134,57,230,47,0,0,0,0,1,181,110,192,119,0,0,0,0,0,0,67,255,189,4,0,0,0,0,0,0,94,204,191,53,0,0,0,0,0,0,125,143,98,198,9,0,0,0,0,0,25,170,193,175,10,0,0,0,0,0,0,0,14,5,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,0,0,0,0,0,0,0,147,80,0,0,0,0,0,0,0,0,144,66,0,0,0,0,0,0,0,0,131,49,0,0,0,0,0,0,0,0,106,50,0,0,0,0,0,0,0,0,63,88,0,0,0,0,0,0,0,0,20,137,4,0,0,0,0,0,0,0,0,89,45,0,0,0,0,0,0,0,0,0,6,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,49,66,90,122,99,1,0,0,0,39,158,142,108,85,199,13,0,0,0,0,0,0,0,41,193,5,0,0,0,0,0,0,0,127,151,0,0,0,0,0,0,0,1,188,76,0,0,0,0,0,0,0,26,207,22,0,0,0,0,0,0,0,86,174,1,0,0,0,0,0,0,0,64,69,0,0,0,0,7
0,0,0,0,3,58,14,0,0,0,0,0,0,0,89,190,15,0,0,0,0,0,0,32,158,29,0,0,0,0,0,0,0,144,94,0,0,0,0,0,0,0,30,198,26,1,49,31,0,0,0,0,75,109,22,170,229,201,6,0,0,0,81,104,195,197,170,120,2,0,0,0,16,129,202,166,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,44,89,134,21,0,0,0,0,0,19,216,210,217,124,0,0,0,0,0,39,220,10,45,198,4,0,0,0,0,7,186,147,147,241,105,0,0,0,0,3,182,177,109,84,188,2,0,0,0,24,210,19,0,47,198,3,0,0,0,9,188,146,99,184,121,0,0,0,0,0,29,137,149,100,3,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,3,81,134,144,67,0,0,0,0,19,155,162,77,66,193,28,0,0,0,119,89,0,0,0,158,25,0,0,0,13,0,0,0,85,138,1,0,0,0,0,0,0,65,175,20,0,0,0,0,16,74,130,204,43,6,15,0,0,39,217,252,163,150,191,113,25,0,0,28,113,56,0,0,39,17,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,113,100,7,0,0,0,0,0,0,145,240,255,49,0,0,0,0,56,134,188,241,200,11,0,0,0,0,141,222,179,197,219,47,0,0,0,10,8,9,0,0,153,189,0,0,0,126,61,0,0,15,168,164,0,0,0,119,222,162,165,220,188,18,0,0,0,0,63,138,153,88,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,1,47,108,84,5,0,0,0,0,0,21,109,31,141,40,0,0,0,0,0,1,9,49,133,5,0,0,0,0,0,0,65,148,135,81,2,0,0,0,0,0,0,0,0,104,49,0,0,0,0,0,0,0,0,54,102,0,0,0,0,27,116,34,39,121,58,0,0,0,0,26,92,77,87,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,10,76,0,0,0,0,0,0,0,0,65,101,0,0,0,0,0,0,0,0,116,46,0,0,0,0,0,0,0,4,134,8,0,1,0,0,0,0,0,33,130,3,111,181,79,0,0,0,0,17,155,155,149,150,138,0,0,0,0,0,124,231,187,154,16,0,0,0,0,0,0,80,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,79,6,0,0,0,0,0,0,0,51,248,75,0,0,0,0,0,0,0,88,245,42,0,0,0,0,0,0,0,171,211,2,0,0,0,0,0,0,0,203,159,0,0,0,0,0,0,0,0,189,123,0,0,0,0,0,0,0,0,187,173,0,0,0,0,0,0,0,0,89,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47,19,0,0,0,0,0,0,73,152,136,130,11,0,0,0,0,58,229,81,0,111,54,0,0,0,0,156,139,0,1,135,20,0,0,0,5,149,17,0,99,133,0,0,0,0,72,130,0,70,177,17,0,0,0,0,91,109,78,174,32,0,0,0,0,0,19,169,160,34,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,0,0,2,0,0,0,31,140,0,0,0,91,99,0,0,0,13,193,30,0,5,177,105,0,0,0,0,140,165,64,172,242,41,0,0,0,0,19,171,190,97,198,22,0,0,0,0,0,0,4,34,203,17,0,0,0,0,0,0,0,47,204,12,0,0,0,0,0,0,0,19,172,19,0,0,0,0,0,0,0,0,7,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,91,217,21,0,0,0,0,0,0,0,151,248,24,0,0,0,0,0,0,0,147,245,25,0,0,0,0,0,0,0,149,231,17,0,0,0,0,0,0,0,153,210,5,0,0,0,0,0,0,0,124,243,21,0,0,0,0,0,0,0,40,190,24,0,0,0,0,0,0,0,0,5,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,102,97,2,0,0,0,0,0,0,73,247,226,197,153,64,0,0,0,22,229,212,53,58,179,246,83,0,0,58,255,117,0,0,25,242,166,0,0,51,252,106,0,0,29,239,161,0,0,34,244,196,79,94,211,247,70,0,0,5,136,237,255,255,219,98,0,0,0,0,0,27,58,57,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
